Common name;Species for tree;Groupe/clade;Ordre;Family;Achat - obtention des graines;Reference;Génotype/ Lot;Poids;nombre de graines;PMG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
Chelidoine;Chelidonium majus;Eudicots;Ranunculales;Papaveraceae;Semences du Puy;;CCFF A ;5.000;7500;0.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensée sauvage;Viola tricolor;Malvids;Malpighiales;Violaceae;Semences du Puy;;116438;5.000;7500;0.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Balsamine de l'Himalaya >< Walleriana;Impatiens glandulifera >< walleriana;Asterids;Ericales;Balsaminaceae;ducrettet;1623;Impatiens Lollipop F1 coconut, DM052827;3.719;5000;0.744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anagallis de Monelli ;Lysimachia monelli ;Asterids;Ericales;Primulaceae;Les graines de France;;Blue Noon, 20132-7;1.500;1950.00;0.769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lettuce;Lactuca sativa;Campanulids;Asterales;Asteraceae;La Ferme de Sainte Marthe;2060A;Blonde de Paris, 22-10013;5.005;5000;1.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aneth ;Anethum graveolens;Campanulids;Apiales;Apiaceae;Graines Baumaux;9017;Ella;5.000;4500.00;1.111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dactyle;Dactylis glomerata;Monocot;Poales;Poaceae;Semences du Puy;;116745;500.000;416666;1.200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amaranthe tête d'éléphant;Amarante gangeticus;Superasterids (archaiques);Caryophyllales;Amaranthaceae;Graines Baumaux;22015;Gangeticus Auror;5.000;4000.00;1.250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basilic;Ocimum basilicum;Lamids;Lamiales;Lamiaceae;Graines Baumaux;9034;Petit Marseillais race Calanque;5.000;4000.00;1.250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carrot;Daucus carota;Campanulids;Apiales;Apiaceae;INRAe;Emmanuel Geoffriau;Lignée S1 036T01-1;5.000;3500.00;1.429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
